%20/01/2021 17:16:30
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza%PD at channel 3: Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]
0.0	10.4166	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255
0.0	10.5387	1.5999	0.4069	1.5999	0.4069	1.5999	0.3662	1.5999	0.3662	1.5999	0.3662	1.5999	0.4069	1.5999	0.3662	1.5999	0.3662	1.5999	0.3662	1.5999	0.3662
0.0	10.498	1.7999	0.4069	1.7999	0.4475	1.7999	0.4475	1.7999	0.4475	1.7999	0.4069	1.7999	0.4069	1.7999	0.4069	1.7999	0.4475	1.7999	0.4475	1.7999	0.4069
0.0	10.5387	1.9999	0.4882	1.9999	0.4475	1.9999	0.4475	1.9999	0.4882	1.9999	0.4475	1.9999	0.4475	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882
0.0	10.4166	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5696	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289
0.0	10.5387	2.3999	0.5696	2.3999	0.5696	2.3999	0.5696	2.3999	0.6103	2.3999	0.6103	2.3999	0.6103	2.3999	0.6103	2.3999	0.6103	2.3999	0.6103	2.3999	0.6103
0.0	10.5387	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.651	2.5999	0.651
0.0	10.5794	2.7999	0.6917	2.7999	0.7324	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917
0.0	10.498	2.9998	0.7324	2.9998	0.7324	2.9998	0.7324	2.9998	0.7324	2.9998	0.7731	2.9998	0.7324	2.9998	0.7731	2.9998	0.7324	2.9998	0.7324	2.9998	0.7324
0.0	10.498	3.1999	0.8138	3.1999	0.7731	3.1999	0.8138	3.1999	0.8138	3.1999	0.7731	3.1999	0.7731	3.1999	0.7731	3.1999	0.8138	3.1999	0.7731	3.1999	0.8138
0.0	10.498	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8138	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544
0.0	10.4573	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951
0.0	10.4166	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9765	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358
0.0	10.4166	3.9999	0.9765	3.9999	0.9765	3.9999	0.9765	3.9999	0.9765	3.9999	1.0172	3.9999	0.9765	3.9999	1.0172	3.9999	0.9765	3.9999	0.9765	3.9999	1.0172
0.0	10.4166	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9765	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358
0.0	10.4573	3.5999	0.8951	3.5999	0.8951	3.5999	0.9358	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951
0.0	10.498	3.3999	0.8138	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8138	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544
0.0	10.498	3.1998	0.8138	3.1998	0.7731	3.1998	0.8138	3.1998	0.8138	3.1998	0.7731	3.1998	0.7731	3.1998	0.7731	3.1998	0.7731	3.1998	0.8138	3.1998	0.7731
0.0	10.498	2.9998	0.7324	2.9998	0.7324	2.9998	0.7731	2.9998	0.7324	2.9998	0.7731	2.9998	0.7324	2.9998	0.7731	2.9998	0.7731	2.9998	0.7324	2.9998	0.7731
0.0	10.5387	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.7324	2.7999	0.6917	2.7999	0.6917
0.0	10.5387	2.5999	0.651	2.5999	0.651	2.5999	0.651	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.651
0.0	10.5387	2.3998	0.5696	2.3998	0.5696	2.3998	0.6103	2.3998	0.5696	2.3998	0.5696	2.3998	0.5696	2.3998	0.5696	2.3998	0.5696	2.3998	0.5696	2.3998	0.6103
0.0	10.4573	2.1998	0.5696	2.1998	0.5289	2.1998	0.5696	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289	2.1998	0.5696	2.1998	0.5289
0.0	10.4573	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4475	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882
0.0	10.498	1.7999	0.4475	1.7999	0.4069	1.7999	0.4069	1.7999	0.4069	1.7999	0.4475	1.7999	0.4475	1.7999	0.4069	1.7999	0.4069	1.7999	0.4069	1.7999	0.4069
0.0	10.4573	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.4069	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.4069	1.5998	0.3662
0.0	10.4573	1.3998	0.3255	1.3998	0.3662	1.3998	0.3255	1.3998	0.3255	1.3998	0.2848	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255
0.0	10.4573	1.1999	0.2848	1.1999	0.2848	1.1999	0.2848	1.1999	0.2848	1.1999	0.2848	1.1999	0.2441	1.1999	0.2848	1.1999	0.2848	1.1999	0.2441	1.1999	0.2441
0.0	10.4573	0.9999	0.2441	0.9999	0.2441	0.9999	0.2441	0.9999	0.2441	0.9999	0.2441	0.9999	0.2034	0.9999	0.2034	0.9999	0.2034	0.9999	0.2441	0.9999	0.2441
0.0	10.4573	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627
0.0	10.4573	0.5998	0.0813	0.5998	0.0813	0.5998	0.122	0.5998	0.122	0.5998	0.122	0.5998	0.0813	0.5998	0.0813	0.5998	0.122	0.5998	0.122	0.5998	0.122
0.0	10.498	0.3999	0.0813	0.3999	0.0406	0.3999	0.0406	0.3999	0.0406	0.3999	0.0406	0.3999	0.0406	0.3999	0.0813	0.3999	0.0406	0.3999	0.0813	0.3999	0.0406
0.0	10.4573	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0
